INV_ID,INV_NO,ANC_NUM,INV_CATL_NO,CATL_MODELE,MARQ,DATE_INSPECTION,CE_NO,ELEMENT,CATEGORIE,COULEUR,MATERIAU,CONDITION,INTERVENTION,EMPL_X,EMPL_Y,EMPL_Z,TERRITOIRE,STATUT,BASE,ANCRAGE,PARC,AIRE,EMPL_ID,ORDRE_AFFICHAGE,LONG,LAT
1685981,INV-1685981,SMU-262844,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297053.934,5045699.56,0,25;,Actif,NON,,,,1703754,2,-73.599207,45.551166
1685982,INV-1685982,SMU-262846,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297243.705,5046011.583,0,25;,Actif,NON,,,,1703755,2,-73.596782,45.553976
1685983,INV-1685983,SMU-262848,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297397.699,5046262.528,0,25;,Actif,NON,,,,1703756,2,-73.594813,45.556235
1685984,INV-1685984,SMU-262849,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297489.455,5046412.151,0,25;,Actif,NON,,,,1703757,2,-73.59364,45.557583
1685985,INV-1685985,SMU-262851,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297805.942,5046926.411,0,25;,Actif,NON,,,,1703758,2,-73.589594,45.562213
1685986,INV-1685986,SMU-262854,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296969.19,5045558.177,0,25;,Actif,NON,,,,1703759,2,-73.600291,45.549893
1685987,INV-1685987,SMU-262856,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296601.544,5045005.436,0,25;,Actif,NON,,,,1703760,2,-73.60499,45.544915
1685988,INV-1685988,SMU-262857,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296504.768,5044850.983,0,25;,Actif,NON,,,,1703761,2,-73.606227,45.543524
1685989,INV-1685989,SMU-262860,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,295931.828,5044014.141,0,25;,Actif,NON,,,,1703762,2,-73.613548,45.535987
1685990,INV-1685990,SMU-262865,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299243.789,5046058.312,0,25;,Actif,NON,,,,1703763,2,-73.571165,45.554415
1685991,INV-1685991,SMU-262867,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299326.085,5046275.914,0,25;,Actif,NON,,,,1703764,2,-73.570113,45.556374
1685992,INV-1685992,SMU-262871,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299341.983,5046345.886,0,25;,Actif,NON,,,,1703765,2,-73.569911,45.557003
1685993,INV-1685993,SMU-262727,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-26,61,Support vélo SUV,Support vélo,,,,,297101.5,5044595,0,25;,Actif,NON,,,,1703766,2,-73.598581,45.541227
1685994,INV-1685994,SMU-262729,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-26,61,Support vélo SUV,Support vélo,,,,,297395.906,5045053.5,0,25;,Actif,NON,,,,1703767,2,-73.594818,45.545356
1685995,INV-1685995,SMU-262730,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-26,61,Support vélo SUV,Support vélo,,,,,297437.763,5045125.354,0,25;,Actif,NON,,,,1703768,2,-73.594283,45.546003
